Lvl,Spell,Ritual,Concentration,Range,"V,S,M",School,Casting Time,Description
6,Blade Barrier,,Concentration,90 ft,"V,S",evocation,1 action,Create a 100 x 20 x 5 ft wall that provides three-quarters cover and can inflict 6d10 slashing damage if passed through.
9,Blade of Disaster,,Concentration,60 ft,"V,S",conjuration,1 bonus action,Make two melee spell attacks and deals 4d12 force damage. Critical hit (18-20) deals 12d12. +2 attacks as bonus action.
0,Blade Ward,,,Self,"V,S",abjuration,1 action,"The caster gets resistance against bludgeoning, piercing, and slashing damage dealt by weapon attacks."
1,Bless,,Concentration,30 ft,"V,S,M",enchantment,1 action,Up to 3 targets can add 1d4 to their attack roll or saving throw (+1 creature/lvl).
4,Blight,,,30 ft,"V,S",necromancy,1 action,The target must succeed on a Con. save or take 8d8 necrotic damage (damage/lvl).
3,Blinding Smite,,Concentration,Self,V,evocation,1 bonus action,"If the attack hits, deals an extra 3d8 radiant damage and the target must succeed on a Con. save or be blinded."
2,Blindness/Deafness,,,30 ft,V,necromancy,1 action,The target must succeed on a Con. save or become blinded or deafened (+1 creature/lvl).
3,Blink,,,Self,"V,S",transmutation,1 action,"The caster has 50% of chance to switch to the Ethereal Plane, then returns to the space he vanished from on the next turn."
2,Blur,,Concentration,Self,V,illusion,1 action,The caster's body becomes blurred and creatures that attack him have disadvantage on attack rolls against him.
6,Bones of the Earth,,,120 ft,"V,S",transmutation,1 action,Create up to 6 vertical 5 x 30 ft pillars of stone (+2 pillars/lvl). Possibility of crushing creatures to the ceiling.
0,Booming Blade,,,Self (5-ft radius),"V,M",evocation,1 action,"If a weapon attack hits, deals 1d8 thunder damage if the target moves (damage/lvl)."
2,Branding Smite,,Concentration,Self,V,evocation,1 bonus action,"If a weapon attack hits, deals an extra 2d6 radiant damage and the target sheds dim light in 5-ft radius (damage/lvl)."
1,Burning Hands,,,Self (15-ft cone),"V,S",evocation,1 action,Creatures in a 15-ft cone must succeed on a Dex. save or take 3d6 fire damage (damage/lvl).
3,Call Lightning,,Concentration,120 ft,"V,S",conjuration,1 action,Creatures in a 5-ft radius must succeed on a Dex. save or take 3d10 lightning damage (damage/lvl) on each turn.
2,Calm Emotions,,Concentration,60 ft,"V,S",enchantment,1 action,"Creatures in a 20-foot-radius sphere must succeed on a Cha. save or no longer be charmed/frightened, or be indifferents."
1,Catapult,,,60 ft,S,transmutation,1 action,The target must succeed on Dex. save or take 3d8 bludgeoning damage of an object up to 5 pounds (+5 pounds and +1d8/lvl).
3,Catnap,,,30 ft,"S,M",enchantment,1 action,3 willing creatures fall unconscious and gain the benefice of a short rest (+1 creature/lvl).
1,Cause Fear,,Concentration,60 ft,V,necromancy,1 action,The target must succeed on a Wis. save or becomes frightened (nbr of targets/lvl).
1,Ceremony,Ritual,,Touch,"V,S,M",abjuration,1 hour,"Perform a religious ceremony (bless water, give bonus to AC, ability check, saving throw, etc)."
6,Chain Lightning,,,150 ft,"V,S,M",evocation,1 action,Up to 4 different targets must succeed on a Dex. save or take 10d8 lightning damage (+1 target/lvl).
1,Chaos Bolt,,,120 ft,"V,S",evocation,1 action,"If the attack hits, deals 2d8 + 1d6 damage of a random type (damage/lvl). Rebound if double 8."
4,Charm Monster,,,30 ft,"V,S",enchantment,1 action,The target must succeed on a Wis. save or be charmed by the caster (duration/lvl).
1,Charm Person,,,30 ft,"V,S",enchantment,1 action,The humanoid target must succeed on a Wis. save or be charmed by the caster (+1 creature/lvl).
0,Chill Touch,,,120 ft,"V,S",necromancy,1 action,"If the spell attack hits, deals 1d8 necrotic damage (damage/lvl) and the target can't regain hp immediately."
1,Chromatic Orb,,,90 ft,"V,S,M",evocation,1 action,"If the spell attack hits, deals 3d8 damage of a previously determined type (damage/lvl)"
6,Circle of Death,,,150 ft,"V,S,M",necromancy,1 action,Creatures in a 60-ft-radius sphere must succeed on a Con. save or take 8d6 necrotic damage (damage/lvl).
5,Circle of Power,,Concentration,Self (30-ft radius),V,abjuration,1 action,Friendly creatures in a 30-ft radius have advantage on saving throws against spells and other magicial effects.
3,Clairvoyance,,Concentration,1 mile,"V,S,M",divination,10 minutes,"Create an invisible sensor in a familiar location within 1 mile, allowing to see or to hear (to choose, can switch)."
8,Clone,,,Touch,"V,S,M",necromancy,1 hour,"Create in 120 days the inert double of a living creature. If the original creature dies, its soul is transferred to the clone."
2,Cloud of Daggers,,Concentration,60 ft,"V,S,M",conjuration,1 action,Creatures in a 5-ft cube take automatically 4d4 slashing damage (damage/lvl).
5,Cloudkill,,Concentration,120 ft,"V,S",conjuration,1 action,Creatures in a 20-ft-radius sphere must succeed on a Con. save or take 5d8 poison damage (damage/lvl).
1,Color Spray,,,Self (15-ft cone),"V,S,M",illusion,1 action,6d10 creatures hp are dazzled in ascending order of their current hp (+2d10 hp/lvl).
1,Command,,,60 ft,V,enchantment,1 action,"The target must succeed on a Wis. save or follow your order as Approach, Drop, Flee, Fall, Halt, etc (+1 creature/lvl)."
5,Commune,Ritual,,Self,"V,S,M",divination,1 minute,Allow to obtain from a divine entity the answers (yes or no) to 3 questions.
5,Commune with Nature,Ritual,,Self,"V,S",divination,1 minute,The caster gets 3 informations about the surrounding territory. Doesn't function in dungeons or towns.
1,Compelled Duel,,Concentration,30 ft,V,enchantment,1 bonus action,The target must succeed on a Wis. save or get a disadvantage on attack rolls against creatures other than the caster.
1,Comprehend Languages,Ritual,,Self,"V,S,M",divination,1 action,The caster understands any spoken and written (1 min/page) language. Doesn't decode secret messages.
4,Compulsion,,Concentration,30 ft,"V,S",enchantment,1 action,Targets within 30 ft must succeed on a Wis. save or move in a specified direction.
5,Cone of Cold,,,Self (60-ft cone),"V,S,M",evocation,1 action,Creatures in a 60-ft cone must succeed on a Con. save or take 8d8 cold damage (damage/lvl).
4,Confusion,,Concentration,90 ft,"V,S,M",enchantment,1 action,Creatures in a 10-ft-radius sphere must succeed on a Wis. save or can't take actions normally (+ 5-ft radius/lvl).
3,Conjure Animals,,Concentration,60 ft,"V,S",conjuration,1 action,"Summon from 1 beast of CR 2 to 8 beasts of CR 1/4, friendly (nbr of creatures/lvl)."
3,Conjure Barrage,,,Self (60-ft cone),"V,S,M",conjuration,1 action,Creatures in a 60-ft cone must succeed on a Dex. save or take 3d8 damage from the weapon/ammunition used.
7,Conjure Celestial,,Concentration,90 ft,"V,S",conjuration,1 minute,"Summon 1 celestial of CR 4, friendly (CR +1/lvl)."
5,Conjure Elemental,,Concentration,90 ft,"V,S,M",conjuration,1 minute,"Summon 1 elemental of CR 5, friendly (CR +1/lvl)."
6,Conjure Fey,,Concentration,90 ft,"V,S",conjuration,1 minute,"Summon 1 fey of CR 6, friendly (CR +1/lvl)."
4,Conjure Minor Elementals,,Concentration,90 ft,"V,S",conjuration,1 minute,"Summon from 1 elemental of CR 2 to 8 elemental of CR 1/4, friendly (nbr of creatures/lvl)."
5,Conjure Volley,,,150 ft,"V,S,M",conjuration,1 action,"Creatures in a 40-ft-radius, 20-ft-high cylinder must succeed on a Dex. save or take 8d8 damage from the weapon/ammunition used."
4,Conjure Woodland Beings,,Concentration,60 ft,"V,S,M",conjuration,1 action,"Summon from 1 fey of CR 2 to 8 fey of CR 1/4, friendly (nbr of creatures/lvl)."
5,Contact Other Plane,Ritual,,Self,V,divination,1 minute,"Contact an extraplanar entity to ask it 5 questions if an Int. save is successful. Otherwise, 6d6 psychic damage."
5,Contagion,,,Touch,"V,S",necromancy,1 action,"If the spell attack hits, target is afflicted with a disease to choose from 6 proposed."
6,Contingency,,,Self,"V,S,M",evocation,10 minutes,Condition the activation of a 5th level spell or lower that can target the caster.
2,Continual Flame,,,Touch,"V,S,M",evocation,1 action,"Create a flame that produces a light equivalent in brightness to a torch, but does not emit any heat."
0,Control Flames,,,60 ft,S,transmutation,1 action,"Control nonmagical fires to expand, extinguish, enlarge, shape simple forms, etc."
4,Control Water,,Concentration,300 ft,"V,S,M",transmutation,1 action,"Control the water in a 100-ft cube (cause a flood, part the water, redirect the flow, create a whirlpool)."
8,Control Weather,,Concentration,Self (5-mile radius),"V,S,M",transmutation,10 minutes,"Modify gradually the climatic conditions outdoors (precipitation, temperature and wind force)."
5,Control Winds,,Concentration,300 ft,"V,S",transmutation,1 action,"Controls air in a 100-ft cube and produce an effect (Gusts, Downdraft or Updraft)."
2,Cordon of Arrows,,,5 ft,"V,S,M",transmutation,1 action,4 ammunition deal 1d6 piercing damage if the target doesn't succeed on a Dex. save (nbr of ammunition/lvl).
3,Counterspell,,,60 ft,S,abjuration,1 reaction,"In reaction, fail a spell of 3rd level or lower. Ability check if the spell is 4th level or higher (threshold/lvl)."
0,Create Bonfire,,Concentration,60 ft,"V,S",conjuration,1 action,Creatures in a 5-ft cube must succeed on a Dex. save or take 1d8 fire damage (damage/lvl).
3,Create Food and Water,,,30 ft,"V,S",conjuration,1 action,"Create 45 pounds of food and 30 gallons of water, enough to sustain 15 humanoids for 24 hours."
6,Create Homunculus,,,Touch,"V,S,M",transmutation,1 hour,Create one homunculus and the caster can transfer his hit points to it up to his next long rest.
1,Create or Destroy Water,,,30 ft,"V,S,M",transmutation,1 action,Create or destroy up to 10 gallons of water (+10 gallons/lvl).
6,Create Undead,,,10 ft,"V,S,M",necromancy,1 minute,Up to 3 Medium or Small humanoids corpses become a ghoul who obey the caster for 24 h (nbr and type of creatures/lvl).
5,Creation,,,30 ft,"V,S,M",illusion,1 minute,Create a non-living object made of vegetable matter or mineral and no larger than a 5-ft cube (+5 ft/lvl).
2,Crown of Madness,,Concentration,120 ft,"V,S",enchantment,1 action,The target must succeed on a Wis. save or be charmed. It then can attack a target designated by the caster.
7,Crown of Stars,,,Self,"V,S",evocation,1 action,"If the spell attack hits, 7 motes deal 4d12 radiant damage each (+1 mote/lvl)."
3,Crusader's Mantle,,Concentration,Self,V,evocation,1 action,Friendly creatures in a 30-ft radius deal an extra 1d4 radiant damage when they hit with a weapon attack.
1,Cure Wounds,,,Touch,"V,S",evocation,1 action,1 creature regains 1d8+Ability.Mod (+1d8 hp/lvl).
0,Dancing Lights,,Concentration,120 ft,"V,S,M",evocation,1 action,Create up to 4 torch-sized lights that shed dim light in a 10-ft radius and can be moved later up to 60 ft.
5,Danse Macabre,,Concentration,60 ft,"V,S",necromancy,1 action,Up to 5 Small or Medium corpses become zombie or skeleton under the caster control (+2 corpses/lvl).
2,Darkness,,Concentration,60 ft,"V,M",evocation,1 action,Fill a 15-ft-radius sphere of magical darkness.
2,Darkvision,,,Touch,"V,S,M",transmutation,1 action,The target can see in the dark within 60 feet.
5,Dawn,,Concentration,60 ft,"V,S,M",evocation,1 action,"Creatures in a 30-ft-radius, 40-ft-high cylinder must succeed on a Con. save or take 4d10 radiant damage."
3,Daylight,,,60 ft,"V,S",evocation,1 action,Create a sphere that sheds bright light in a 60-ft radius and dim light in an additional 60-ft radius.
4,Death Ward,,,Touch,"V,S",abjuration,1 action,"When the target drops to 0 hp for the first time, it automatically returns to 1 hp."
7,Delayed Blast Fireball,,Concentration,150 ft,"V,S,M",evocation,1 action,Creatures in a 20-ft-radius sphere must succeed on a Dex. save or take 12d6 fire damage (damage/lvl).
8,Demiplane,,,60 ft,S,conjuration,1 action,Create a door that leads to a demiplane (30-ft cube). Creatures still in the demiplane at the end of the spell are trapped.
5,Destructive Wave,,,Self (30-ft radius),V,evocation,1 action,Targets in a 30-ft radius must succeed on a Con. save or take 5d6 thunder damage and 5d6 radiant or necrotic damage.
1,Detect Evil and Good,,Concentration,Self,"V,S",divination,1 action,"The caster senses and locates aberration, celestial, elemental, fey, fiend, or undead within 30 ft."
1,Detect Magic,Ritual,Concentration,Self,"V,S",divination,1 action,The caster senses the presence of magic in a 30-ft radius and learns its school of magic.
1,Detect Poison and Disease,Ritual,Concentration,Self,"V,S,M",divination,1 action,"The caster senses and identifies poison, poisonous creature, or disease within 30 ft."
2,Detect Thoughts,,Concentration,Self,"V,S,M",divination,1 action,"The caster detects the superficial thoughts of a creature within 30 ft, and the deepest if the target misses a Wis. save."
4,Dimension Door,,,500 ft,V,conjuration,1 action,The caster and another creature of the same size are teleported to a maximum of 500 feet.
1,Disguise Self,,,Self,"V,S",illusion,1 action,Modify the appearance of the caster (its physical and its equipment) thanks to an illusion.
6,Disintegrate,,,60 ft,"V,S,M",transmutation,1 action,The target must succeed on a Dex. save or take 10d6+40 force damage (damage/lvl). An Large or smaller object is disintegrated.
5,Dispel Evil and Good,,Concentration,Self,"V,S,M",abjuration,1 action,"End a condition (charmed, frightened, or possessed) or bannish a creature to its home plane (Cha. save)."
3,Dispel Magic,,,120 ft,"V,S",abjuration,1 action,End spells of 3rd level 3 or lower on a target. Ability check for each spell of 4th level or higher (threshold/lvl).
1,Dissonant Whispers,,,60 ft,V,enchantment,1 action,The target must succeed on a Wis. save or take 3d6 psychic damage and move away (damage/lvl).
4,Divination,Ritual,,Self,"V,S,M",divination,1 action,The caster gets a truthful reply to 1 question about an event to occur within 7 days.
1,Divine Favor,,Concentration,Self,"V,S",evocation,1 bonus action,"If a weapon attack hits, deals an extra 1d4 radiant damage."
7,Divine Word,,,30 ft,V,evocation,1 bonus action,"Targets must succeed on a Cha. save or suffer an effect (deafened, blinded, etc). Some creatures are banned."
4,Dominate Beast,,Concentration,60 ft,"V,S",enchantment,1 action,A beast within 60 ft must succeed on a Wis. save or be charmed and obey the launcher (duration/lvl).
8,Dominate Monster,,Concentration,60 ft,"V,S",enchantment,1 action,The target must succeed on a Wis. save or be charmed and obey the caster (duration/lvl).
5,Dominate Person,,Concentration,60 ft,"V,S",enchantment,1 action,One humanoid must succeed on a Wis. save or be charmed and obey the caster (duration/lvl).
2,Dragon's Breath,,Concentration,Touch,"V,S,M",transmutation,1 bonus action,"Spew a 15-ft cone that deals 3d6 acid, cold, fire, lightning, or poison damage in case of failed Dex. save (damage/lvl)."
6,Drawmij's Instant Summons,Ritual,,Touch,"V,S,M",conjuration,1 minute,"Mark a 10 pounds or less object and allow to teleport it into the caster hand, wherever it is, if not held."
5,Dream,,,Special,"V,S,M",illusion,1 minute,Shape the dreams of a sleeping creature who can take 3d6 psychic damage if it fails on a Wis. save.
7,Dream of the Blue Veil,,,20 ft,"V,S,M",conjuration,10 minutes,You and up to 8 willing creatures fall unconscious and are physically transported to another world on the material plan.
6,Druid Grove,,,Touch,"V,S,M",abjuration,10 minutes,"Protect a 30 x 30 x 30 ft area with fog, vines, animated trees, or other effects."
0,Druidcraft,,,30 ft,"V,S",transmutation,1 action,"Provide various minor effects related to nature (weather forecast, flowering, sensory effect, etc)."
2,Dust Devil,,Concentration,60 ft,"V,S,M",conjuration,1 action,Creatures within 5 ft must succeed on a Str. save or take 1d8 bludgeoning damage (damage/lvl).
1,Earth Tremor,,,10 ft,"V,S",evocation,1 action,Creatures in a 10-foot radius must succeed on a Dex. save or take 1d6 bludgeoning damage and be knocked prone (damage/lvl).
2,Earthbind,,Concentration,300 ft,V,transmutation,1 action,Target within 300 ft must succeed on a Str. save or its flying speed is reduced to 0 (descends at 60 ft/round).
8,Earthquake,,Concentration,500 ft,"V,S,M",evocation,1 action,Creatures in a 100-ft radius must succeed on a Dex. save or be knocked prone. Cause damage to structures.
0,Eldritch Blast,,,120 ft,"V,S",evocation,1 action,"If the spell attack hits, deals 1d10 force damage (nbr of beam/lvl)."
4,Elemental Bane,,Concentration,90 ft,"V,S",transmutation,1 action,The target must succeed on a Con. save or suffer an extra 2d6 damage of a specific type (+1 target/lvl).
3,Elemental Weapon,,Concentration,Touch,"V,S",transmutation,1 action,A weapon becomes magical with a +1 bonus to attack rolls and deal an extra 1d4 damage of a chosen type (bonus/lvl).
3,Enemies Abound,,Concentration,120 ft,"V,S",enchantment,1 action,The target must succeed on an Int. save or not be able to distinguish friend from foe ; all are ennemis for it.
5,Enervation,,Concentration,60 ft,"V,S",necromancy,1 action,The target must succeed on a Dex. save or take 4d8 necrotic damage each turn (+1d8/lvl).
2,Enhance Ability,,Concentration,Touch,"V,S,M",transmutation,1 action,"The target gains advantage on ability checks for one predefined ability, and other bonuses in such cases (+1 creature/lvl)."
2,Enlarge/Reduce,,Concentration,30 ft,"V,S,M",transmutation,1 action,Double or halve the size of a creature (Con. save) or an object.
1,Ensnaring Strike,,Concentration,Self,V,conjuration,1 bonus action,The target must succeed on a Str. save or be restrained and take 1d6 piercing damage (damage/lvl).
1,Entangle,,Concentration,90 ft,"V,S",conjuration,1 action,Creatures in a 20-ft square (difficult terrain) must succeed on a Str. save or be restrained.
2,Enthrall,,,60 ft,"V,S",enchantment,1 action,Targets must succeed on a Wis. save or have disadvantage on Wisdom (Perception) checks to perceive others creatures.
3,Erupting Earth,,,120 ft,"V,S,M",transmutation,1 action,Creatures in a 20-foot cube (difficult terrain) must succeed on a Dex. save or take 3d12 bludgeoning damage (damage/lvl).
7,Etherealness,,,Self,"V,S",transmutation,1 action,The caster is projected into the Ethereal Plane (nbr of creatures/lvl).
4,Evard's Black Tentacles,,Concentration,90 ft,"V,S,M",conjuration,1 action,Creatures in a 20-ft square must succeed on a Dex. save or take 3d6 bludgeoning damage and be restrained.
1,Expeditious Retreat,,Concentration,Self,"V,S",transmutation,1 bonus action,The caster can take the Dash action by using a bonus action.
6,Eyebite,,Concentration,Self,"V,S",necromancy,1 action,"The target in a 60-ft radius must succeed on a Wis. save or take on a the following effects: asleep, panicked or sickened."
4,Fabricate,,,120 ft,"V,S",transmutation,10 minutes,Convert raw materials into Large or smaller simples objects of the same material.
1,Faerie Fire,,Concentration,60 ft,V,evocation,1 action,Creatures in a 20-ft cube must succeed on a Dex. save or grant advantage against them to attackers.
1,False Life,,,Self,"V,S,M",necromancy,1 action,The caster gains 1d4+4 temporary hit points (+5 hp/lvl).
5,Far Step,,Concentration,Self,V,conjuration,1 bonus action,Teleport the caster up to 60 ft on each round with a bonus action.
3,Fear,,Concentration,Self (30-ft cone),"V,S,M",illusion,1 action,"Creatures in a 30-ft cone must succeed on a Wis. save or drop whatever they are holding, become frightened and move away."
1,Feather Fall,,,60 ft,"V,M",transmutation,1 reaction,Up to 5 creatures fall at 60 feet per round and take no falling damage before the spell ends.
8,Feeblemind,,,150 ft,"V,S,M",enchantment,1 action,The target take 4d6 psychic damage and must succeed on an Int. save or his Charisma and Intelligence scores become 1.
3,Feign Death,Ritual,,Touch,"V,S,M",necromancy,1 action,The willing target appears dead to all outward inspection.
1,Find Familiar,Ritual,,10 ft,"V,S,M",conjuration,1 hour,Summon a small animal that obeys the caster and telepathically shares his senses with him.
4,Find Greater Steed,,,30 ft,"V,S",conjuration,10 minutes,"Summon a spirit that assumes the form a steed (griffon, pegasus, etc) telepathically linked to the caster."
2,Find Steed,,,30 ft,"V,S",conjuration,10 minutes,"Summon a spirit that assumes the form a steed (horse, elk, etc) telepathically linked to the caster."
6,Find the Path,,Concentration,Self,"V,S,M",divination,1 minute,Determine the shortest and most direct physical path to reach a known destination.
2,Find Traps,,,120 ft,"V,S",divination,1 action,"The caster senses the presence of any trap in a 120-ft radius, but the spell don't give their location."
7,Finger of Death,,,60 ft,"V,S",necromancy,1 action,"The target must succeed on a Con. save or take 7d8+30 necrotic damage. If killed, becomes a zombie under the caster command."
0,Fire Bolt,,,120 ft,"V,S",evocation,1 action,"If the spell attack hits, deals 1d10 fire damage (damage/lvl). An object can ignite."
4,Fire Shield,,,Self,"V,S,M",evocation,1 action,"The caster gains resistance to cold or fire damage, and deals 2d8 damage to attackers who hit him within 5 ft."
7,Fire Storm,,,150 ft,"V,S",evocation,1 action,Creatures in ten 10-ft cube must succeed on a Dex. save or take 7d10 fire damage.
3,Fireball,,,150 ft,"V,S,M",evocation,1 action,Creatures in a 20-ft radius must succeed on a Dex. save or take 8d6 fire damage (damage/lvl).
3,Flame Arrows,,Concentration,Touch,"V,S",transmutation,1 action,12 arrows/bolts deal an extra 1d6 fire damage (+2 ammunition/lvl).
2,Flame Blade,,Concentration,Self,"V,S,M",evocation,1 bonus action,"If the spell attack hits, deals 3d6 fire damage (damage/lvl). Shed bright light in 10 ft and dim light in additional 10 ft."
5,Flame Strike,,,60 ft,"V,S,M",evocation,1 action,"Creatures in a 10-ft-radius, 40-ft-high cylinder must succeed on a Dex. save or take 4d6 fire and 4d6 radiant (damage/lvl)."
2,Flaming Sphere,,Concentration,60 ft,"V,S,M",conjuration,1 action,Creatures within 5 ft from a 5-ft-diameter sphere must succeed on a Dex. save or take 2d6 fire damage (damage/lvl).
6,Flesh to Stone,,Concentration,60 ft,"V,S,M",transmutation,1 action,"The target within 60 ft must succeed on a Con. save or be restrained, or petrified after 3 failures."
3,Fly,,Concentration,Touch,"V,S,M",transmutation,1 action,The target gets a flying speed of 60 ft (+1 creature/lvl).
1,Fog Cloud,,Concentration,120 ft,"V,S",conjuration,1 action,Makes an area heavily obscured in a 20-ft-radius sphere (+20 ft/lvl).
6,Forbiddance,Ritual,,Touch,"V,S,M",abjuration,10 minutes,Prevent teleporting to the protected area and inflicts 5d10 radiant or necrotic damage to some type of creatures.
7,Forcecage,,,100 ft,"V,S,M",evocation,1 action,Creates a 20-ft cage or a 10-ft box of magical force that traps a creature. Escape by magicial means only.
9,Foresight,,,Touch,"V,S,M",divination,1 minute,"1 creature sees its near future, can not be surprised and has advantage on his rolls. Attacks against it have disadvantage."
4,Freedom of Movement,,,Touch,"V,S,M",abjuration,1 action,"Target's movement is unaffected by difficult terrain, spells or water."
0,Friends,,Concentration,Self,"S,M",enchantment,1 action,The casters gets advantage on all Charisma checks directed at one chosen creature that isn't hostile toward him.
0,Frostbite,,,60 ft,"V,S",evocation,1 action,The target must succeed on a Con. save or take 1d6 cold damage and have disadvantage on next attack roll (damage/lvl).
3,Gaseous Form,,Concentration,Touch,"V,S,M",transmutation,1 action,"The target turns into a cloud, gets a flying speed of 10 ft, and can pass through small holes."
9,Gate,,Concentration,60 ft,"V,S,M",conjuration,1 action,Create a portal to another plan. Also allows to summon a creature from another plane.
5,Geas,,,60 ft,V,enchantment,1 minute,The target must succeed on a Wis. save or be charmed and take 5d10 psychic if it doesn't obey (duration/lvl).
2,Gentle Repose,Ritual,,Touch,"V,S,M",necromancy,1 action,Protect a corpse from decay or to become undead.
4,Giant Insect,,Concentration,30 ft,"V,S",transmutation,1 action,Transform insects (from 10 centipedes to 1 scorpion) into giant creatures that obey the caster's orders.
8,Glibness,,,Self,V,transmutation,1 action,Give 15 to a Charisma check and hides the lies during a magic detection.
6,Globe of Invulnerability,,Concentration,Self (10-ft radius),"V,S,M",abjuration,1 action,Block 5th level spells or lower within a 10-ft radius (threshold/lvl).
